country,income,health,population,latitude,longitude
Afghanistan,1925,57.63,32526562,33.93911,67.709953
Albania,10620,76,2896679,41.153332,20.168331
Algeria,13434,76.5,39666519,28.033886,1.659626
Andorra,46577,84.1,70473,42.546245,1.601554
Angola,7615,61,25021974,-11.202692,17.873887
Antigua and Barbuda,21049,75.2,91818,17.060816,-61.796428
Argentina,17344,76.2,43416755,-38.416097,-63.616672
Armenia,7763,74.4,3017712,40.069099,45.038189
Australia,44056,81.8,23968973,-25.274398,133.775136
Austria,44401,81,8544586,47.516231,14.550072
Azerbaijan,16986,72.9,9753968,40.143105,47.576927
Bahamas,22818,72.3,388019,25.03428,-77.39628
Bahrain,44138,79.2,1377237,25.930414,50.637772
Bangladesh,3161,70.1,160995642,23.684994,90.356331
Barbados,12984,75.8,284215,13.193887,-59.543198
Belarus,17415,70.4,9495826,53.709807,27.953389
Belgium,41240,80.4,11299192,50.503887,4.469936
Belize,8501,70,359287,17.189877,-88.49765
Benin,1830,65.5,10879829,9.30769,2.315834
Bhutan,7983,70.2,774830,27.514162,90.433601
Bolivia,6295,72.3,10724705,-16.290154,-63.588653
Bosnia and Herzegovina,9833,77.9,3810416,43.915886,17.679076
Botswana,17196,66.4,2262485,-22.328474,24.684866
Brazil,15441,75.6,207847528,-14.235004,-51.92528
Brunei,73003,78.7,423188,4.535277,114.727669
Bulgaria,16371,74.9,7149787,42.733883,25.48583
Burkina Faso,1654,62.8,18105570,12.238333,-1.561593
Burundi,777,60.4,11178921,-3.373056,29.918886
Cambodia,3267,68.4,15577899,12.565679,104.990963
Cameroon,2897,59.5,23344179,7.369722,12.354722
Canada,43294,81.7,35939927,56.130366,-106.346771
Cape Verde,6514,74.6,520502,16.002082,-24.013197
Central African Republic,599,53.8,4900274,6.611111,20.939444
Chad,2191,57.7,14037472,15.454166,18.732207
Chile,22465,79.3,17948141,-35.675147,-71.542969
China,13334,76.9,1376048943,35.86166,104.195397
Colombia,12761,75.8,48228704,4.570868,-74.297333
Comoros,1472,64.1,788474,-11.875001,43.872219
Costa Rica,14132,80,4807850,9.748917,-83.753428
Croatia,20260,78,4240317,45.1,15.2
Cuba,21291,78.5,11389562,21.521757,-77.781167
Cyprus,29797,82.6,1165300,35.126413,33.429859
Czech Republic,29437,78.6,10543186,49.817492,15.472962
Denmark,43495,80.1,5669081,56.26392,9.501785
Djibouti,3139,64.63,887861,11.825138,42.590275
Dominica,10503,74.6,72680,15.414999,-61.370976
Dominican Republic,12837,73.8,10528391,18.735693,-70.162651
Ecuador,10996,75.2,16144363,-1.831239,-78.183406
Egypt,11031,71.3,91508084,26.820553,30.802498
El Salvador,7776,74.1,6126583,13.794185,-88.89653
Equatorial Guinea,31087,60.63,845060,1.650801,10.267895
Eritrea,1129,62.9,5227791,15.179384,39.782334
Estonia,26812,76.8,1312558,58.595272,25.013607
Ethiopia,1520,63.6,99390750,9.145,40.489673
Fiji,7925,66.3,892145,-16.578193,179.414413
Finland,38923,80.8,5503457,61.92411,25.748151
France,37599,81.9,64395345,46.227638,2.213749
Gabon,18627,60.53,1725292,-0.803689,11.609444
Gambia,1644,65.1,1990924,13.443182,-15.310139
Georgia,7474,73.3,3999812,42.315407,43.356892
Germany,44053,81.1,80688545,51.165691,10.451526
Ghana,4099,65.5,27409893,7.946527,-1.023194
Greece,25430,79.8,10954617,39.074208,21.824312
Grenada,11593,71.7,106825,12.262776,-61.604171
Guatemala,7279,73.1,16342897,15.783471,-90.230759
Guinea,1225,60.8,12608590,9.945587,-9.696645
Guinea-Bissau,1386,53.4,1844325,11.803749,-15.180413
Guyana,6816,64.4,767085,4.860416,-58.93018
Haiti,1710,65.3,10711067,18.971187,-72.285215
Honduras,4270,72.4,8075060,15.199999,-86.241905
Hungary,24200,76.2,9855023,47.162494,19.503304
Iceland,42182,82.8,329425,64.963051,-19.020835
India,5903,66.8,1311050527,20.593684,78.96288
Indonesia,10504,70.9,257563815,-0.789275,113.921327
Iran,15573,78.5,79109272,32.427908,53.688046
Iraq,14646,72.1,36423395,33.223191,43.679291
Ireland,47758,80.4,4688465,53.41291,-8.24389
Israel,31590,82.4,8064036,31.046051,34.851612
Italy,33297,82.1,59797685,41.87194,12.56738
Jamaica,8606,75.5,2793335,18.109581,-77.297508
Japan,36162,83.5,126573481,36.204824,138.252924
Jordan,11752,78.3,7594547,30.585164,36.238414
Kazakhstan,23468,68.2,17625226,48.019573,66.923684
Kenya,2898,66.63,46050302,-0.023559,37.906193
Kiribati,1824,62.4,112423,-3.370417,-168.734039
Kuwait,82633,80.7,3892115,29.31166,47.481766
Latvia,23282,75.7,1970503,56.879635,24.603189
Lebanon,17050,78.5,5850743,33.854721,35.862285
Lesotho,2598,48.5,2135022,-29.609988,28.233608
Liberia,958,63.9,4503438,6.428055,-9.429499
Libya,17261,76.2,6278438,26.3351,17.228331
Lithuania,26665,75.4,2878405,55.169438,23.881275
Luxembourg,88314,81.1,567110,49.815273,6.129583
Madagascar,1400,64.7,24235390,-18.766947,46.869107
Malawi,799,60.22,17215232,-13.254308,34.301525
Malaysia,24320,75.1,30331007,4.210484,101.975766
Maldives,14408,79.5,363657,3.202778,73.22068
Mali,1684,57.6,17599694,17.570692,-3.996166
Malta,30265,82.1,418670,35.937496,14.375416
