,port_voyage_began,began_lat,began_long,main_place_slave_purch,purch_lat,purch_long,main_slave_disemb_port,disemb_lat,disemb_long,journey_count
0,"Africa., port unspecified",5.1036,-1.2411,Congo River,-6.07,12.45,Rio de Janeiro province,-22.89687,-43.2041,1
1,"Africa., port unspecified",5.1036,-1.2411,"Lagos, Onim",37.1,-8.67,"Cuba, port unspecified",23.15246,-81.64938000000001,1
2,"Africa., port unspecified",5.1036,-1.2411,"Lagos, Onim",37.1,-8.67,"Grenada, port unspecified",12.05,-61.76,1
3,"Africa., port unspecified",5.1036,-1.2411,Sherbro,7.31,-12.3,Freetown,8.49123,-13.2325,1
4,"Africa., port unspecified",5.1036,-1.2411,Whydah,6.3629999999999995,2.085,"Barbados, port unspecified",13.01,-59.63,1
5,"Africa., port unspecified",5.1036,-1.2411,Whydah,6.3629999999999995,2.085,Freetown,8.49123,-13.2325,1
6,Amsterdam,52.38,4.9,"Africa., port unspecified",5.1036,-1.2411,"Americas, port unspecified",32.78,-79.72,1
7,Amsterdam,52.38,4.9,"Africa., port unspecified",5.1036,-1.2411,"Barbados, port unspecified",13.01,-59.63,1
8,Amsterdam,52.38,4.9,"Africa., port unspecified",5.1036,-1.2411,"St. Kitts, port unspecified",17.36,-62.75,1
9,Amsterdam,52.38,4.9,Ardra,6.379,2.451324,"Hispaniola, port unspecified",19.0,-70.67,1
10,Amsterdam,52.38,4.9,Ardra,6.379,2.451324,"Pernambuco, port unspecified",-8.47,-37.95,1
11,Amsterdam,52.38,4.9,Bonny,4.4142,7.1898,Cartagena,37.58333,-0.9833299999999999,1
12,Amsterdam,52.38,4.9,Calabar,4.982,8.3345,St. Eustatius,17.49,-62.97,1
13,Amsterdam,52.38,4.9,Cape Lahou,5.1365,-5.026,Demerara,6.546,-58.09,2
14,Amsterdam,52.38,4.9,Christiansborg,5.5469,-0.1833,"Danish West Indies, colony unspecified",18.33,-64.83,1
15,Amsterdam,52.38,4.9,Congo North,-4.769,11.866,"St. Lucia, port unspecified",13.909,-60.9789,1
16,Amsterdam,52.38,4.9,Elmina,5.1053,-1.3421,"Americas, port unspecified",32.78,-79.72,1
17,Amsterdam,52.38,4.9,Elmina,5.1053,-1.3421,Demerara,6.546,-58.09,1
18,Amsterdam,52.38,4.9,"Gold Coast, port unspecified",5.1036,-1.2411,Elmina,5.1053,-1.3421,1
19,Amsterdam,52.38,4.9,Sierra Leone estuary,8.48444,-13.23444,Canary Islands,28.29,16.63,1
20,Amsterdam,52.38,4.9,"Sierra Leone, port unspecified",8.57,-13.03,Cartagena,37.58333,-0.9833299999999999,1
21,Amsterdam,52.38,4.9,St. Paul de Loanda,-8.80407,13.2333,Buenos Aires,-34.60257,-58.3747,1
